Date,Open,High,Low,Close,Adj Close,Volume
2021-02-11,31.049999,31.299999,30.200001,30.250000,30.250000,2100165
2021-02-14,30.250000,31.600000,30.250000,31.150000,31.150000,2588523
2021-02-15,31.500000,32.099998,30.799999,31.549999,31.549999,3803051
2021-02-16,31.900000,32.799999,31.299999,32.450001,32.450001,5613901
2021-02-17,32.549999,33.000000,31.400000,31.549999,31.549999,3579480
2021-02-18,31.549999,31.799999,31.100000,31.500000,31.500000,853519
2021-02-21,31.100000,31.500000,31.000000,31.150000,31.150000,886549
2021-02-22,31.150000,32.799999,31.049999,32.500000,32.500000,3435976
2021-02-23,32.549999,32.549999,31.799999,31.950001,31.950001,1753208
2021-02-24,31.950001,31.950001,30.700001,31.100000,31.100000,1140903
2021-02-25,31.100000,32.000000,31.100000,31.350000,31.350000,1184982
2021-02-28,30.500000,31.600000,30.299999,31.100000,31.100000,720431
2021-03-01,31.150000,31.299999,30.950001,31.049999,31.049999,708523
2021-03-02,31.150000,32.799999,31.100000,31.950001,31.950001,3298421
2021-03-03,32.400002,33.299999,32.000000,33.150002,33.150002,3605113
2021-03-04,33.150002,33.150002,32.500000,32.650002,32.650002,2056895
2021-03-07,32.950001,33.200001,32.599998,32.650002,32.650002,1101450
2021-03-08,32.799999,34.150002,32.650002,33.000000,33.000000,4005522
2021-03-09,33.299999,33.299999,32.299999,32.599998,32.599998,1401709
2021-03-10,32.599998,32.650002,31.600000,31.799999,31.799999,637839
2021-03-11,31.900000,31.900000,31.200001,31.400000,31.400000,512779
2021-03-14,31.600000,31.700001,31.350000,31.450001,31.450001,633023
2021-03-15,31.450001,31.850000,31.400000,31.799999,31.799999,494474
2021-03-16,31.549999,31.650000,30.700001,31.000000,31.000000,1495419
2021-03-17,31.100000,31.150000,30.549999,30.700001,30.700001,499861
2021-03-18,30.549999,30.799999,30.500000,30.799999,30.799999,261425
2021-03-21,30.850000,31.700001,30.850000,31.549999,31.549999,974345
